Name,Release Date,Holiday(Y/N),Actor,Times Celebex Male,Times Celebex Female,Box Office Range,Target,Box Office Sales,Duration,Duration Range,Facebook Likes (3 month),Facebook(2 months),Facebook(1 month),Facebook(15 days),Facebook(1 week),Facebook(3 days),Trend,Promotion before 3 months,Log(start/average),log(end/average),Increase 3-2,Increase 2-1,Increase 1-15 days,Increase 15-7 days,Increase 7-3 days,isSequel,isUniversal,isAction,isComedy,isThriller,isAdventure,isRomantic,isDrama,isBiography,isCrime,isMusical,isSport,isMystery,isHorror
Shivaay,28/10/16,Y,Ajay Devgn,1,0,75 - 100,50-100,"84,81,50,000",2:49,2.5 - 3  ,51072,64626,83132,89268,92235,94799,1.246263143,1,0.261850615,-0.121390234,26.54,28.64,7.38,3.32,2.78,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Ae Dil Hai Mushkil,28/10/16,Y,"Ranbir Kapoor, Anushka Sharma, Aishwarya Rai Bacchan, Fawad Khan",1,1,>100,>100,"1,06,46,00,000",2:38,2.5 - 3,295,389,37333,49173,59451,68707,2.342694062,1,-1.98,-0.261193004,31.86,9497.17,31.71,20.9,15.57,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Sultan,7/6/2016,Y,"Salman Khan, Anushka Sharma",1,1,>100,>100,"3,00,67,25,000",2:50,2.5 - 3,101531,152507,186974,291634,302756,308809,1.491251707,1,0.560266413,0.391495959,50.21,22.6,55.98,3.81,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Force 2,18/11/16,N,"John Abraham, Sonakshi Sinha",0,1,25 - 50,<50,"31,43,00,000",2:07,2 - 2.5,1020,1335,27755,30688,33685,35125,1.858799996,1,-1.437732079,-0.552577658,30.88,1979.03,10.57,9.77,4.27,1,0,1,0,1,1,0,0,0,1,0,0,1,0
Tum Bin 2,18/11/16,N,Neha Sharma,0,0,<25,<50,"4,42,00,000",2:27,2 - 2.5,670,1033,2594,3930,4005,4964,2.02910399,1,-1.620257448,-1.402362218,54.18,151.11,51.5,1.91,23.95,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Rock On 2,11/11/2016,Y,"Farhan Akhtar, Shradha Kapoor, Arjun Rampal",0,1,<25,<50,"10,03,00,000",2:23,2 - 2.5,310109,321410,322020,392704,393686,393943,1.132066309,1,1.04518212,0.497239397,3.64,0.19,21.95,0.25,0.07,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Dishoom,29/07/16,N,"John Abraham, Varun Dhawan, Jacqueline Fernandez",0,1,50 - 75,50-100,"67,80,50,000",2:04,2 - 2.5,0,0,3795,7771,10410,18655,4.244402985,0,-1.362761476,-0.827398737,0,0,104.77,33.96,79.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Rustom,8/12/2016,Y,"Akshay Kumar, Ileana D'Cruz, Esha Gupta",1,1,>100,>100,"1,24,45,00,000",2:28,2 - 2.5,84484,84760,169691,186425,192604,197664,1.37655927,1,0.480442217,0.197733589,0.33,100.2,9.86,3.31,2.63,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Baaghi,29/04/16,N,"Shraddha Kapoor, Tiger Shroff",0,1,75 - 100,50-100,"76,06,50,000",2:13,2 - 2.5,0,0,198845,210086,213898,216197,1.735604797,0,0.356541419,0.236655673,0,0,5.65,1.81,1.07,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Airlift,22/01/16,Y,"Akshay Kumar, Nimrat Kaur",1,0,>100,>100,"1,23,46,50,000",2:10,2 - 2.5,2518,67775,79635,148270,161152,166040,1.807336454,1,-1.045276525,0.122018734,2591.62,17.5,86.19,8.69,3.03,0,0,1,0,0,0,0,1,0,0,0,0,0,0
